"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation","gene_name","ENTREZID"
"1","ENSG00000000419",26.828757637762,0.0863997208048625,0.484048142439611,0.178494065423754,0.858334981466793,0.999606199905259,"up","DPM1","8813"
"2","ENSG00000001629",11.293450045706,0.332377560621175,0.505042659826781,0.658117792930945,0.510462443417608,0.999606199905259,"up","ANKIB1","54467"
"3","ENSG00000001631",11.4558353834247,0.0271563004371077,0.608584089633181,0.0446221005440282,0.964408526516532,0.999606199905259,"up","KRIT1","889"
"4","ENSG00000002330",15.0630138176804,-0.00462781226166976,0.522989251182501,-0.00884877127246131,0.99293979415632,0.999606199905259,"down","BAD","572"
"5","ENSG00000002549",12.8365994549121,1.13621364598789,0.486325941055978,2.33632128181522,0.0194745031589465,0.999606199905259,"up","LAP3","51056"
"6","ENSG00000002586",87.0195971043918,0.477489305446809,0.93412212833777,0.511163680809575,0.609236447975265,0.999606199905259,"up","CD99","4267"
"7","ENSG00000002822",24.6289762379129,-0.193024422022474,0.725522940286504,-0.266048681997912,0.790201716801262,0.999606199905259,"down","MAD1L1","8379"
"8","ENSG00000002834",15.0638219594422,0.0840727705201131,0.556450297838703,0.151087654812403,0.879906570739509,0.999606199905259,"up","LASP1","3927"
"9","ENSG00000003056",19.8143245368466,0.569223548054568,0.521918715616276,1.09063639801159,0.275432906990855,0.999606199905259,"up","M6PR","4074"
"10","ENSG00000003400",11.8583718634173,-0.13637840625254,0.585099657023751,-0.233085773706074,0.81569480163364,0.999606199905259,"down","CASP10","843"
"11","ENSG00000003402",38.4636947098663,0.657794918681332,0.355209420128018,1.85185099664379,0.0640472223206931,0.999606199905259,"up","CFLAR","8837"
"12","ENSG00000003436",14.2863764831046,3.540165327,1.35391284987051,2.61476602968838,0.00892885964077958,0.751299761202739,"up","TFPI","7035"
"13","ENSG00000003756",113.836120949976,0.034260458333829,0.360299752498384,0.0950887645530167,0.924244322225331,0.999606199905259,"up","RBM5","10181"
"14","ENSG00000004059",49.3711745204223,-0.185521010974664,0.551564843789548,-0.336353944714885,0.736603975057075,0.999606199905259,"down","ARF5","381"
"15","ENSG00000004455",20.3847690457228,-0.385917571506432,0.522886616162865,-0.738052112212084,0.460482782395934,0.999606199905259,"down","AK2","204"
"16","ENSG00000004468",25.5827514049384,0.331319269613273,1.11819196021464,0.296299098367401,0.767001674453718,0.999606199905259,"up","CD38","952"
"17","ENSG00000004487",25.2610956663595,0.0377346499840414,0.368546923862533,0.102387640598287,0.918448993488558,0.999606199905259,"up","KDM1A","23028"
"18","ENSG00000004534",45.0357968314368,-0.0336806518379281,0.674011868656164,-0.0499704135849716,0.960145965394707,0.999606199905259,"down","RBM6","10180"
"19","ENSG00000004700",13.2171395644852,-0.112216040179072,0.581068315116544,-0.193120218844776,0.846864818364184,0.999606199905259,"down","RECQL","5965"
"20","ENSG00000004766",11.20552447372,0.104007669888479,0.580215696013578,0.179256904980462,0.857735983541848,0.999606199905259,"up","VPS50","55610"
"21","ENSG00000004777",10.9981381545602,0.027059097049129,1.09630441892127,0.0246821015970676,0.980308531588404,0.999606199905259,"up","ARHGAP33","115703"
"22","ENSG00000004779",26.6290950976976,-0.429708259130224,0.679672112307811,-0.632228763471198,0.527237404647004,0.999606199905259,"down","NDUFAB1","4706"
"23","ENSG00000004809",10.0749837337672,0.0604484814443283,0.580234610649364,0.104179379056134,0.917026998044674,0.999606199905259,"up","SLC22A16","85413"
"24","ENSG00000004897",15.4929254812428,-0.642264526992073,0.561056657160276,-1.14474094335289,0.252316485551364,0.999606199905259,"down","CDC27","996"
"25","ENSG00000004939",13.9436731751506,-0.876260286544739,1.07614352312282,-0.814259685364227,0.415496199676299,0.999606199905259,"down","SLC4A1","6521"
"26","ENSG00000005007",17.3240774152056,0.115234553714811,0.63747834316096,0.180766225160554,0.856551074739806,0.999606199905259,"up","UPF1","5976"
"27","ENSG00000005022",51.1899757795683,-0.451602781262283,0.466696707689478,-0.96765795391632,0.333215223404367,0.999606199905259,"down","SLC25A5","292"
"28","ENSG00000005059",20.0528012841262,-0.638575723973396,0.775755319718675,-0.823166413096559,0.410413365853488,0.999606199905259,"down","MCUB","55013"
"29","ENSG00000005075",12.1175038570426,-0.240540882461634,0.512672840548278,-0.469189829140135,0.638933954816548,0.999606199905259,"down","POLR2J","5439"
"30","ENSG00000005156",10.0172664720634,0.105537943093803,0.529321027570505,0.199383620896764,0.841962671895805,0.999606199905259,"up","LIG3","3980"
"31","ENSG00000005206",55.0928808717952,0.403144044211932,0.795990418480712,0.506468463504126,0.612527823154335,0.999606199905259,"up","SPPL2B","56928"
"32","ENSG00000005249",12.1038338026596,1.96272907154255,1.02853328325692,1.90827958948244,0.0563550895730751,0.999606199905259,"up","PRKAR2B","5577"
"33","ENSG00000005302",10.1835023675653,0.281074392994754,0.647673686681415,0.433975316235152,0.664306365790055,0.999606199905259,"up","MSL3","10943"
"34","ENSG00000005339",31.0215014066796,0.0176036262317084,0.585477961844667,0.0300671030831709,0.976013536799448,0.999606199905259,"up","CREBBP","1387"
"35","ENSG00000005379",19.9549908560225,0.387706965694247,0.700894050050502,0.553160589202193,0.580153450977107,0.999606199905259,"up","TSPOAP1","9256"
"36","ENSG00000005381",46.2541786048057,3.00860521467294,1.18643165856347,2.5358436728802,0.0112176797725448,0.839011223622715,"up","MPO","4353"
"37","ENSG00000005483",126.273191851063,0.126900192064583,0.374719523230378,0.338653804238975,0.73487054512742,0.999606199905259,"up","KMT2E","55904"
